Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league
G. Evans,Reading,Reading,LCB,25,19,1855,0,1.87,0,0,13.73,60.78,Wales,Wales,0,0,11.98,6.02,71.77,3.49,59.72,0.78,0.97,0.78,6.89,8.62,0.19,0,0,0,0,0.53,0,0,0,0.09,0,0,7,0.34,42.86,0,0,0,0,0.68,57.14,1.7,40,0.44,0.15,0,0.44,36.44,76.3,18.73,60.1,3.06,98.41,12.03,95.16,8.3,40.94,23.83,41.36,0,0,0,0,0.1,0,0,5.19,38.32,0.82,5.88,0.73,6.67,0.15,0,7.96,57.32,England 202122
M. Earps,Manchester United,Manchester United,GK,29,19,1855,0,0,0,0,0.78,87.5,England,England,0,0,1.26,0,0,0.58,91.67,0,0,0,1.26,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,0.34,22.27,89.76,7.81,75.16,0.05,100,13.54,97.85,5.48,62.83,26.2,41.48,0,0,0,0,0,0,0,0.44,33.33,0,0,0.05,0,0,0,3.69,60.53,England 202122
M. Le Tissier,Brighton & Hove Albion,Brighton & Hove Albion,"RB, RCB",19,19,1846,1,0.57,0,1.13,15.16,58.2,England,England,0,0,11.6,5.31,66.06,3.56,60.27,0.44,0.55,0.54,7.65,9.59,0.49,2,0.1,0,0,2,0.05,1,0.05,0.03,0,0,7,0.34,28.57,14.286,0,2.34,41.67,1.46,60,3.41,50,0.73,1.27,0.59,0.88,41.39,72.2,20.14,63.92,4.88,94,13.11,78.81,7.61,40.38,22.51,39.38,0.05,0.44,0.05,0,0.24,20,0.24,6.92,55.63,3.17,47.69,1.12,43.48,0.68,1.12,11.12,62.28,England 202122
K. Zelem,Manchester United,Manchester United,"LDMF, RDMF",26,19,1844,5,2.61,4,3.59,17.33,52.68,England,England,163,0,9.91,7.17,63.27,4.2,54.65,0.15,0.23,0.44,5.22,8.19,1.22,1,0.05,0,0,1.12,0.24,3,0.15,0.13,0,0,24,1.17,25,20.833,0.2,1.17,37.5,0.49,30,2.54,28.85,0.49,0.2,0,0.49,44.9,77.39,16.11,62.12,8.2,90.48,14.59,85.62,6,43.9,19.1,36.57,0.18,1.76,0.1,0.05,0.54,45.45,0.39,8.25,61.54,2.49,41.18,0.88,22.22,0.59,0.49,7.91,70.99,England 202122
M. Pacheco,Aston Villa,Aston Villa,LB,23,19,1842,0,0.29,0,1.65,20.18,52.06,England,England,0,0,11.68,8.6,64.77,1.71,54.29,0.34,0.43,0.1,5.77,7.31,0.49,3,0.15,0,0,2.25,0,0,0,0.01,0,0,8,0.39,25,0,0,1.61,30.3,3.37,49.28,6.5,38.35,0.54,1.66,0.83,0.83,35.08,70.06,16.76,62.97,3.52,81.94,9.19,76.6,3.86,36.71,19.11,34.49,0.08,0.88,0,0.05,0.1,0,0.15,5.57,55.26,1.66,32.35,0.29,16.67,0.24,0.44,7.92,62.35,England 202122
E. Koivisto,Brighton & Hove Albion,Brighton & Hove Albion,"RB, RW, LB",27,19,1840,3,2.41,0,0.5,25.53,47.89,Finland,Finland,169,0,13.21,9.78,65.5,4.26,44.83,0.24,0.31,0.2,6.55,8.2,0.93,1,0.05,0,0,1.37,0.15,3,0.15,0.12,2,0.1,15,0.73,26.67,20,0,1.17,20.83,2.59,35.85,7.68,30.57,1.42,0.73,0.15,1.22,27.64,73.81,10.37,59.43,5.53,91.15,6.95,79.58,1.22,44,16.51,15.87,0.02,0.29,0.05,0,0.05,0,0.05,2.25,41.3,1.32,37.04,0.15,0,0.39,0.24,4.65,52.63,England 202122
S. Tierney,Leicester City WFC,Leicester City WFC,"RCMF, RCB",23,19,1836,2,1.19,0,1.16,19.07,58.61,England,England,0,0,11.03,9.22,71.28,2.7,45.45,0.59,0.68,0.39,3.87,4.45,1.13,5,0.25,0,0,0.69,0.1,2,0.1,0.06,2,0.1,7,0.34,42.86,28.571,0,0.34,57.14,0.49,60,3.53,47.22,1.03,0.29,0.1,1.13,23.92,70.9,11.32,59.31,2.6,88.68,6.96,83.8,4.12,36.9,19.27,35.91,0.06,0.74,0,0,0.05,100,0.2,4.36,49.44,1.23,40,0.2,25,0.54,0.15,4.9,60,England 202122
H. Hampton,Aston Villa,Aston Villa,GK,21,19,1812,0,0,0,0,1.14,86.96,England,England,0,0,2.43,0.1,50,0.79,93.75,0,0,0,2.38,3.03,0.05,1,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0.15,100,0,0,0,0.05,27.57,65.77,16.54,48.35,0.05,0,10.38,92.82,14.85,42.81,39.14,50.27,0,0,0,0,0,0,0,5.46,26.36,0.7,7.14,0.3,0,0.05,0,8.74,52.27,England 202122
D. Turner,Everton,Everton,"LB, RB",31,19,1794,1,1.4,0,0.3,20.17,54.23,England,England,0,0,13.55,9.53,61.05,3.71,58.11,0.5,0.65,0.35,7.22,9.41,0.85,2,0.1,0,0,1.76,0.05,1,0.05,0.07,0,0,11,0.55,54.55,9.091,0,1.3,19.23,1.25,76,3.71,40.54,0.45,1.2,0.75,0.5,40.69,73.24,17.51,59.31,6.32,88.1,11.19,83.41,4.77,31.58,18.61,37.29,0.02,0.3,0,0,0.4,62.5,0.15,5.82,45.69,1.71,29.41,0.7,14.29,0.25,0.3,8.48,55.62,England 202122
E. Toone,Manchester United,Manchester United,"AMF, CF, RAMF",22,19,1774,7,7.31,8,3.02,18.62,47.14,England,England,0,0,7.31,6.09,66.67,0.66,53.85,0.51,0.8,0.1,2.74,4.3,0.86,3,0.15,0,0,5.07,0.36,6,0.3,0.37,0,0,60,3.04,30,10,0.41,2.03,40,4.26,57.14,8.73,40.7,3.09,1.62,1.12,0.36,39.57,76.03,13.44,66.42,7.41,91.78,9.54,74.47,1.37,37.04,14.63,24.72,0.15,1.32,0.1,0.05,2.33,39.13,0.76,5.38,65.09,4.21,49.4,2.03,30,1.78,0.91,6.95,79.56,England 202122
Lou. Quinn,Birmingham City,Birmingham City,"CB, RCB",31,18,1762,3,2.95,0,0,13.94,60.07,Republic of Ireland,Republic of Ireland,0,0,9.91,5.11,73,5.62,57.27,0.41,0.47,0.61,5.77,6.63,0.26,0,0,0,0,0.31,0.15,3,0.15,0.15,1,0.05,10,0.51,30,30,0,0,0,0.26,60,0.72,42.86,0.66,0,0,0.46,20.43,70.25,12.16,55.04,1.79,100,4.24,93.98,5.57,44.95,22.22,38.83,0,0,0,0,0,0,0,3.68,48.61,0.41,12.5,0.2,25,0.1,0,5.47,54.21,England 202122
G. George,Everton,Everton,LCB,25,18,1761,0,0.25,0,0.79,14.41,60.28,England,England,172,0,9.35,5.67,67.57,3.58,62.86,0.36,0.47,0.56,5.16,6.73,0.77,5,0.26,0,0,0.61,0,0,0,0.01,0,0,4,0.2,0,0,0,0.15,0,0.77,66.67,2.35,43.48,0.51,1.28,0.46,0.2,52.59,85.81,18.5,71.27,3.22,98.41,26.73,95.22,5.78,45.13,20.04,35.24,0.04,0.15,0,0,0.1,100,0.05,3.88,59.21,0.46,22.22,0.31,50,0.2,0,7.82,52.29,England 202122
G. Flaherty,West Ham United,West Ham United,"CB, LCB, RCB",30,18,1750,0,0.48,2,0.71,10.34,59.2,England,England,169,0,9.46,4.78,62.37,2.78,62.96,0.51,0.65,0.46,5.97,7.48,0.31,1,0.05,0,0,0.36,0,0,0,0.02,0,0,5,0.26,0,0,0.1,0.36,42.86,0.26,80,0.93,50,0.36,0.62,0.05,0.21,29.98,77.02,14.91,65.17,2.83,92.73,10.18,88.89,5.45,40.57,21.5,31.29,0.04,0.15,0,0,0.05,0,0.15,4.22,59.76,0.72,28.57,0.31,0,0.1,0.15,6.94,58.52,England 202122
N. Harding,Reading,Reading,"LB, RCB, RW",33,19,1748,0,1.08,0,0.16,11.64,50,Wales,Wales,0,0,9.37,5.05,66.33,2.16,40.48,0.15,0.2,0.36,5.87,7.48,0.1,2,0.1,0,0,0.93,0,0,0,0.06,0,0,7,0.36,14.29,0,0,0.82,25,0.88,64.71,2.27,36.36,0.67,0.36,0.15,0.62,27.08,67.11,13.03,56.52,3.6,82.86,7,80.88,5.66,40,19.89,34.08,0.01,0.15,0,0,0.15,66.67,0.1,4.63,38.89,1.13,31.82,0.57,36.36,0.31,0.15,6.74,58.02,England 202122
A. Asante,Aston Villa,Aston Villa,"LCB, RCB",36,18,1745,1,0.85,0,0.06,13,56.75,England,England,167,0,7.63,5.36,72.12,2.22,37.21,0.1,0.13,0.46,3.66,4.71,0.36,1,0.05,0,0,0.77,0.05,1,0.05,0.04,1,0.05,4,0.21,50,25,0,0.1,50,1.03,60,2.99,48.28,0.36,0.46,0,0.26,29.97,85.89,11.6,76.44,3.56,94.2,11.71,93.83,3.71,52.78,19.51,30.15,0,0.05,0,0,0,0,0,2.37,56.52,0.36,28.57,0.21,25,0.1,0.05,4.28,54.22,England 202122
R. Allen,Aston Villa,Aston Villa,"LCMF, RCMF",31,18,1734,3,2.59,0,0.39,17.85,50.58,England,England,0,0,7.99,6.85,62.12,2.54,36.73,0.47,0.62,0.16,3.27,4.32,1.14,2,0.1,0,0,1.04,0.16,3,0.16,0.13,1,0.05,13,0.67,61.54,23.077,0,0.21,25,0.99,47.37,4.72,43.96,1.25,0.21,0,1.56,26.94,78.03,8.62,56.02,6.23,97.5,7.01,85.19,1.97,39.47,15.99,30.48,0.02,0.31,0,0,0.31,33.33,0.31,3.69,52.11,1.04,50,0.36,28.57,0.52,0.05,3.43,54.55,England 202122
I. Christiansen,Everton,Everton,"RDMF, DMF, LCMF",30,19,1733,0,3.39,2,1.22,14.85,49.65,England,England,161,0,9.71,6.34,63.11,1.61,45.16,0.26,0.35,0.16,5.45,7.39,0.88,1,0.05,0,0,1.19,0,0,0,0.18,0,0,19,0.99,26.32,0,0.1,1.09,23.81,1.25,41.67,4.1,29.11,0.99,0.47,0.31,0.83,46.79,78.25,17.24,65.66,8.31,94.38,13.66,84.79,4.73,47.25,17.03,30.79,0.06,0.88,0,0,0.52,30,0.16,7.74,62.42,2.23,30.23,1.04,20,0.47,0.26,8.15,60.51,England 202122
Ona Batlle,Manchester United,Manchester United,"RB, LB",22,18,1730,1,1.13,3,1.57,20.71,56.28,Spain,Spain,0,0,12.43,9.68,68.82,2.03,38.46,0.26,0.4,0.26,5.51,8.55,0.52,1,0.05,0,0,2.97,0.05,1,0.05,0.06,0,0,16,0.83,18.75,6.25,0.16,1.56,36.67,3.23,61.29,5.88,47.79,1.35,2.13,1.09,0.47,44.64,80.19,19.66,74.6,6.97,94.78,9.26,84.27,2.91,32.14,15.54,24.99,0.08,0.83,0.16,0.1,0.73,35.71,0.57,5.25,76.24,2.39,45.65,0.78,46.67,0.73,0.68,9,68.79,England 202122
S. Mayling,Aston Villa,Aston Villa,RB,25,18,1727,1,0.33,1,1.53,18.92,52.62,England,England,0,0,11.36,8.29,63.52,2.35,48.89,0.16,0.2,0.42,5.94,7.7,0.68,2,0.1,0,0,2.45,0.05,1,0.05,0.02,0,0,7,0.36,42.86,14.286,0.05,2.76,33.96,1.93,67.57,4.38,44.05,0.42,1.35,0.78,0.68,37.1,69.94,18.71,61.84,4.27,86.59,8.76,76.19,5.37,41.75,19.89,36.87,0.08,0.63,0.05,0,0.42,12.5,0.21,7.5,54.17,3.13,41.67,0.47,11.11,0.63,1.04,9.95,67.54,England 202122
A. Greenwood,Manchester City,Manchester City,LCB,28,18,1721,1,1.67,2,2.31,16.26,60.13,England,England,168,0,8.94,5.86,72.32,3.97,56.58,0.47,0.87,0.58,4.24,7.84,0.73,3,0.16,0,0,1.73,0.05,1,0.05,0.09,0,0,13,0.68,46.15,7.692,0.1,1.15,40.91,1.41,62.96,3.87,54.05,0.68,1.62,0.42,0.37,76.82,87.88,37.65,81.81,2.51,89.58,30.75,95.41,10.62,63.55,21.78,39.91,0.12,1.15,0,0,0.26,20,0.21,14.28,69.23,2.41,45.65,1.36,42.31,0.58,0.47,17.26,83.03,England 202122
M. Bright,Chelsea,Chelsea,RCB,28,18,1721,0,1.32,0,1.02,9.99,64.92,England,England,0,0,7.43,3.14,73.33,3.87,71.62,0.31,0.5,0.42,4.81,7.6,0.63,3,0.16,0,0,0.63,0,0,0,0.07,0,0,17,0.89,17.65,0,0,0.89,29.41,0.42,37.5,1.26,20.83,0.89,0.94,0.1,0.05,68.93,85.28,30.54,75.34,4.86,92.47,28.87,94.02,9.31,51.69,22.13,40.99,0.05,0.47,0.05,0.05,0.1,50,0.42,12.81,68.98,2.41,39.13,1.36,46.15,0.63,0.37,14.96,79.02,England 202122
A. Whelan,Brighton & Hove Albion,Brighton & Hove Albion,"LDMF, RDMF, RCMF",30,19,1719,2,1.98,2,1.16,19.58,47.59,England,England,0,0,8.74,6.13,65.81,4.55,43.68,0.68,0.86,0.21,4.03,5.1,0.79,2,0.1,0,0,1.15,0.1,2,0.1,0.1,1,0.05,13,0.68,30.77,15.385,0.1,1.1,23.81,1.47,42.86,4.97,33.68,1.52,0.52,0.1,0.94,27.8,70.81,9.84,55.32,3.87,90.54,8.48,76.54,1.78,50,16.95,28.39,0.06,0.52,0,0,0.47,11.11,0.31,3.82,56.16,1.26,20.83,0.58,27.27,0.21,0.26,4.35,56.63,England 202122
M. Bartrip,Tottenham Hotspur,Tottenham Hotspur,RCB,25,17,1680,0,0.1,1,0.78,11.2,58.37,England,England,0,0,8.57,4.88,70.33,3.05,45.61,0.48,0.67,1.13,4.66,6.48,0.48,1,0.05,0,0,0.16,0,0,0,0.01,0,0,3,0.16,0,0,0.05,0,0,0.27,60,0.96,33.33,0.05,0.48,0.11,0.21,39.21,87.3,15.91,76.09,3.59,97.01,16.55,95.79,5.14,61.46,20.28,35.41,0.04,0.27,0,0,0,0,0.11,3.38,58.73,0.43,37.5,0.43,37.5,0.16,0,6.54,63.11,England 202122
V. Williams,Brighton & Hove Albion,Brighton & Hove Albion,LCB,31,18,1676,2,0.8,0,0,15.2,57.24,England,England,0,0,12.3,6.77,69.84,3.76,54.29,0.16,0.2,1.07,7.41,9.3,0.86,3,0.16,0,0,0.27,0.11,2,0.11,0.04,0,0,4,0.21,75,50,0,0.11,0,0.38,28.57,1.77,21.21,0.54,0.43,0.16,0.11,36.25,79.7,15.36,68.88,2.85,81.13,14.39,91.79,5.32,51.52,21.61,42.55,0,0,0,0,0.21,0,0,3.81,46.48,0.38,14.29,0.54,20,0.11,0,6.82,48.82,England 202122
Sandy MacIver,Everton,Everton,GK,23,17,1661,0,0,0,0,0.49,88.89,England,England,0,0,1.52,0.11,100,0.33,83.33,0.05,0.07,0,1.35,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,25.2,86.45,10.19,72.34,0.11,50,13,96.25,6.18,53.51,24.92,39.43,0,0,0,0,0,0,0,0.6,18.18,0.05,0,0,0,0,0,4.28,45.57,England 202122
R. Percival,Tottenham Hotspur,Tottenham Hotspur,"RCMF, RB",32,17,1656,2,2.86,2,3.31,19.51,45.96,England,"England, New Zealand",161,0,10.38,8.37,53.9,2.12,38.46,0.43,0.6,0.27,5.43,7.56,1.74,4,0.22,0,0,2.17,0.11,2,0.11,0.16,0,0,20,1.09,50,10,0.11,1.74,34.38,1.58,37.93,4.95,39.56,1.79,0.54,0.27,1.41,28.86,75.52,9.67,64.61,4.95,93.41,8.26,81.58,1.79,45.45,17.03,20.75,0.18,1.68,0,0,0.82,53.33,0.49,3.97,65.75,1.74,43.75,0.82,40,0.38,0.65,4.84,62.92,England 202122
F. Bryson,Reading,Reading,RB,24,17,1654,0,0.21,0,0.9,18.45,49.85,England,England,0,0,11.75,8.81,56.17,2.88,43.4,0.76,0.95,0.98,6.04,7.55,0.87,1,0.05,0,0,2.45,0,0,0,0.01,0,0,12,0.65,41.67,0,0,2.18,37.5,2.12,58.97,4.19,46.75,0.22,0.82,0.49,0.6,26.83,57.61,13.82,44.88,3.59,92.42,6.2,63.16,4.63,34.12,20.48,36.46,0.05,0.44,0,0,0.22,50,0.11,4.9,42.22,2.45,40,0.54,30,0.27,0.76,8.71,52.5,England 202122
M. Walsh,Brighton & Hove Albion,Brighton & Hove Albion,GK,27,17,1653,0,0,0,0,0.82,80,England,England,173,0,2.18,0.16,33.33,0.44,87.5,0,0,0,2.12,2.73,0.11,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0.05,0,0.22,30.54,78.97,17.97,67.88,0,0,11.27,96.14,12.74,56.41,31.53,41.41,0,0,0,0,0,0,0,1.74,21.88,0.11,0,0.11,0,0,0,8.38,56.49,England 202122
M. Zinsberger,Arsenal,Arsenal,GK,26,17,1651,0,0,0,0,0.27,100,Austria,Austria,178,74,1.36,0,0,0.27,100,0,0,0,1.36,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,27.75,91.36,8.83,75.93,0.05,100,17.17,98.41,3.92,47.22,23.47,30.43,0,0,0,0,0,0,0,0.27,40,0,0,0,0,0,0,2.73,44,England 202122
M. Pike,Leicester City WFC,Leicester City WFC,"LCMF, RCMF",21,18,1650,0,0.81,1,0.45,15.05,42.75,England,England,0,0,6.44,6.05,59.46,2.13,28.21,0.05,0.06,0.27,2.78,3.31,0.65,0,0,0,0,1.36,0,0,0,0.04,0,0,15,0.82,20,0,0.05,0.6,45.45,1.47,51.85,3.98,28.77,0.44,0.6,0.33,0.33,17.07,61.66,7.53,47.1,2.35,88.37,4.64,67.06,1.75,21.88,19.24,35.49,0.02,0.16,0,0,0.44,37.5,0.05,3.22,38.98,0.82,40,0.49,33.33,0.11,0.22,3.6,51.52,England 202122
H. Blundell,Manchester United,Manchester United,"LB, RB",27,18,1631,0,0.4,4,1.82,16.22,48.3,England,England,163,0,9.1,7.95,64.58,0.66,33.33,0.28,0.42,0.06,3.7,5.63,0.83,2,0.11,0,0,1.66,0,0,0,0.02,0,0,9,0.5,33.33,0,0.22,0.88,62.5,1.77,50,4.14,33.33,0.55,1.82,1.66,0.55,42.16,82.07,16.94,69.71,6.68,92.56,12.31,91.03,3.97,48.61,18.03,30.47,0.1,0.72,0.06,0.06,0.77,7.14,0.28,5.79,67.62,1.71,48.39,0.72,23.08,0.44,0.55,9.33,66.27,England 202122
A. Neville,Tottenham Hotspur,Tottenham Hotspur,"RB, LB",28,17,1625,2,4.61,2,2,28.47,54.09,England,England,0,0,14.68,10.86,61.73,5.1,55.43,1.5,2.08,0.44,6.48,9.02,1.55,4,0.22,0,0,5.15,0.11,2,0.11,0.26,0,0,26,1.44,42.31,7.692,0.11,2.66,45.83,4.65,64.29,8.53,53.25,2.16,2.44,0.89,1.27,40.54,68.03,20.38,63.32,4.15,81.33,9.58,74.57,4.98,41.11,18.3,35.46,0.11,0.5,0,0,1,33.33,0.39,6.54,50.85,3.05,47.27,1.27,26.09,0.55,1.22,11.08,61,England 202122
A. Plumptre,Leicester City WFC,Leicester City WFC,LCB,23,17,1611,1,1.84,0,0.1,18.16,65.23,England,England,0,0,12.57,7.54,80.74,5.42,59.79,0.22,0.26,0.84,6.26,7.24,0.67,3,0.17,0,0,0.78,0.06,1,0.06,0.1,1,0.06,13,0.73,38.46,7.692,0,0.28,80,0.61,45.45,2.63,42.55,0.95,0.61,0.34,0.22,32.12,74.96,17.09,63.4,2.23,90,10.06,91.11,4.86,34.48,20.45,36.31,0.01,0.17,0,0,0,0,0.06,4.92,48.86,0.67,50,0.39,14.29,0.11,0.22,6.82,55.74,England 202122
L. Woodham,Reading,Reading,"LB, LWB",21,18,1607,0,0.08,1,2.2,19.32,49.57,Wales,Wales,0,0,12.6,8.79,62.42,2.41,44.19,0.22,0.27,0.22,6.89,8.44,0.39,2,0.11,0,0,1.79,0,0,0,0,0,0,3,0.17,33.33,0,0.06,0.95,35.29,2.86,47.06,5.82,36.54,0.11,0.84,0.45,0.56,27.78,69.96,11.65,55.29,5.38,85.42,7.95,81.69,4.76,42.35,19.77,31.97,0.12,0.9,0,0,0.06,100,0.11,3.25,39.66,1.4,40,0.17,0,0.28,0.39,6.78,52.89,England 202122
K. Longhurst,West Ham United,West Ham United,"RWB, LCB, RW",32,19,1603,1,0.82,2,1.28,17.85,49.06,England,England,0,0,8.42,6.46,59.13,1.97,57.14,0,0,0.17,4.6,5.68,1.07,4,0.22,0,0,3.71,0.06,1,0.06,0.05,1,0.06,7,0.39,57.14,14.286,0.11,2.92,50,2.64,63.83,5.95,43.4,1.01,1.46,0.67,0.79,38.35,67.35,17.91,56.43,5.22,90.32,10.39,71.89,5.95,32.08,20.95,36.23,0.07,0.51,0,0,0.56,60,0.39,6.51,52.59,4.1,50.68,1.07,36.84,0.67,1.46,9.54,62.35,England 202122
G. Moloney,Reading,Reading,GK,29,17,1603,0,0,0,0,0.62,81.82,Republic of Ireland,Republic of Ireland,170,0,1.68,0.11,50,0.28,80,0,0,0,1.63,2.08,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,0.11,23.69,83.41,12.35,71.36,0,0,10.84,96.89,8.93,59.12,31.74,42.12,0,0,0,0,0,0,0,0.95,47.06,0,0,0,0,0,0,5.9,64.76,England 202122
S. O’Brien,Leicester City WFC,Leicester City WFC,"CF, RW, AMF",19,18,1601,1,1.54,1,0.98,27.6,38.9,England,England,0,0,8.83,7.93,57.45,3.26,36.21,1.01,1.16,0.06,3.26,3.74,1.97,4,0.22,0,0,2.19,0.06,1,0.06,0.09,0,0,14,0.79,28.57,7.143,0.06,0.73,30.77,4.61,35.37,11.24,26.5,0.9,0.67,0.39,1.35,16.08,63.29,5.68,46.53,3.82,85.29,4.22,68,1.8,43.75,19.22,34.11,0.06,0.56,0,0,0.51,22.22,0.22,2.53,44.44,1.07,36.84,0.9,25,0.39,0.28,2.7,50,England 202122
R. Holloway,Birmingham City,Birmingham City,"LB, LWB",26,17,1599,0,0.66,1,1.5,18.97,53.12,Northern Ireland,Northern Ireland,0,0,11.99,7.99,72.54,2.36,38.1,0.17,0.19,0.34,6.02,6.95,0.68,1,0.06,0,0,2.14,0,0,0,0.04,0,0,10,0.56,20,0,0.06,1.24,50,2.53,53.33,5.74,37.25,0.79,1.13,0.79,0.45,23.3,57.73,14.02,45.38,3.15,87.5,3.83,77.94,3.77,35.82,20.44,34.07,0.08,0.39,0,0,0.06,100,0.17,4.62,51.22,1.24,63.64,0.39,28.57,0.11,0.68,7.43,50,England 202122
A. Eikeland,Reading,Reading,"RCMF, LAMF, RAMF",26,17,1596,2,0.74,2,0.46,20.08,49.16,Norway,Norway,0,0,9.64,8.12,60.42,2.26,45,0.85,1.07,0.11,3.89,4.91,1.18,1,0.06,0,0,1.52,0.11,2,0.11,0.04,0,0,8,0.45,50,25,0.11,0.96,17.65,2.42,46.51,6.03,38.32,1.02,0.39,0.34,0.9,20.24,75.21,5.86,64.42,4.96,92.05,4.79,72.94,1.3,52.17,16.57,22.62,0.03,0.45,0,0,0,0,0.17,2.03,55.56,1.24,50,0.06,100,0.62,0.23,3.33,55.93,England 202122
L. Galton,Manchester United,Manchester United,"LAMF, LW, LWF",27,18,1583,7,7.94,1,1.48,18.25,52.96,England,England,170,0,5.74,3.58,71.43,3.64,73.44,0.28,0.46,0.06,2.9,4.66,0.74,0,0,0,0,3.52,0.4,7,0.4,0.45,1,0.06,34,1.93,35.29,20.588,0.06,2.27,37.5,3.07,62.96,7.9,41.73,4.55,1.76,1.59,0.8,25.64,77.61,6.42,59.29,8.19,93.06,5.91,78.85,1.42,56,16.75,27.13,0.08,0.91,0.06,0.11,0.11,50,0.45,1.99,51.43,1.48,73.08,0,0,1.14,0.68,2.9,72.55,England 202122
A. Lehmann,Aston Villa,Aston Villa,"RWF, CF, LW",23,18,1580,2,2.41,3,0.89,30.59,41.71,Switzerland,Switzerland,0,0,6.66,6.21,58.72,3.93,24.64,0.06,0.07,0,2.96,3.67,0.97,1,0.06,0,0,5.53,0.11,1,0.06,0.14,0,0,27,1.54,25.93,7.407,0.17,3.42,21.67,7.63,56.72,15.49,41.91,1.99,2.56,1.82,2.45,17.83,62.94,4.1,61.11,3.65,85.94,4.33,51.32,0.34,16.67,16.74,9.54,0.05,0.4,0.06,0,0.17,33.33,0.28,1.31,73.91,1.82,28.13,0.28,20,0.23,0.8,2.28,55,England 202122
S. Howard,Leicester City WFC,Leicester City WFC,"RCB, RB",28,18,1541,1,0.72,0,0.15,16.76,58.54,Germany,"Germany, Scotland",175,0,12.91,7.88,62.22,4.32,63.51,0.47,0.54,0.82,7.53,8.66,1.28,0,0,0,0,1.11,0.06,1,0.06,0.04,0,0,8,0.47,25,12.5,0,0.58,50,0.93,75,2.1,55.56,0.7,0.58,0.23,0.64,30.66,69.71,15.94,56.78,3.45,98.31,8.06,78.99,5.2,39.33,20.5,34.84,0.01,0.23,0,0,0.06,0,0.06,5.02,48.84,1.11,36.84,0.23,50,0.23,0.29,7.01,55,England 202122
K. Little,Arsenal,Arsenal,"RCMF, RDMF",31,18,1540,6,2.68,0,1.68,18.23,47.12,Scotland,Scotland,160,0,6.08,4.68,66.25,0.7,50,0.06,0.09,0.35,2.92,4.66,0.18,0,0,0,0,3.56,0.35,5,0.29,0.16,0,0,22,1.29,45.45,27.273,0,2.05,22.86,3.92,55.22,10.11,36.42,2.1,1.29,0.53,0.94,37.99,84.62,8.77,72,8.12,92.81,14.03,90,1.64,53.57,18.13,27.62,0.1,1.05,0.06,0,0.82,42.86,0.29,4.5,70.13,2.45,50,0.58,30,0.99,0.47,3.62,77.42,England 202122
J. Purfield,Leicester City WFC,Leicester City WFC,"LB, LWB",25,17,1534,2,0.49,1,2.02,16.49,54.09,England,England,0,0,13.32,7.74,58.33,1.7,48.28,1.06,1.18,0.12,7.74,8.63,0.82,2,0.12,1,0.06,2.64,0.12,2,0.12,0.03,0,0,14,0.82,35.71,14.286,0.06,1.35,47.83,2.7,54.35,4.22,55.56,0.29,1.41,0.29,0.59,30.22,60.39,16.13,50.18,2.99,94.12,6.63,70.8,4.75,27.16,19.62,37.74,0.12,1.06,0,0,0.59,40,0.06,6.57,44.64,1.88,50,0.82,35.71,0.29,0.7,9.68,49.09,England 202122
