Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league
K. Sharples,Chicago Red Stars,KuPS,"LCB, RCB",24,6,570,1,0.22,0,0.14,11.21,63.38,United States,United States,0,0,9.47,5.21,78.79,2.37,46.67,0.79,0.92,0.16,4.58,5.34,0.79,1,0.16,0,0,0.95,0.16,1,0.16,0.03,1,0.16,3,0.47,33.33,33.333,0,0.16,0,1.26,62.5,2.53,43.75,1.26,0.32,0.47,0.32,45.95,81.79,23.37,70.95,2.21,92.86,18,93.86,8.84,58.93,23.3,37.01,0.02,0.32,0,0,0,0,0.16,8.21,63.46,0.47,33.33,0.63,25,0.16,0,11.53,68.49,Finland 2020
S. Aarna,Åland United,Åland United,"CF, LWF",31,18,565,3,1.92,0,0.13,25.01,39.49,Estonia,Estonia,0,0,4.78,5.89,48.65,6.37,40,0.32,0.41,0,1.59,2.03,0.64,0,0,0,0,3.35,0.48,2,0.32,0.31,1,0.16,13,2.07,69.23,23.077,0,0.64,0,3.03,52.63,8.6,33.33,4.62,1.75,0.64,1.12,22.46,68.09,5.26,39.39,6.85,97.67,6.21,64.1,0.96,66.67,14.48,7.41,0.02,0.96,0,0,0.8,40,0.16,2.39,40,1.43,44.44,0.8,40,1.12,0,2.07,53.85,Finland 2020
E. Kupsanen,PK-35,PK-35,"RW, LW, LAMF",,13,561,0,0.49,0,0.48,24.06,52,Finland,Finland,0,0,9.47,9.14,70.18,0.48,33.33,0,0,0,3.05,3.05,0,0,0,0,0,4.65,0,0,0,0.08,0,0,10,1.6,40,0,0,2.25,7.14,7.06,52.27,10.75,44.78,1.6,3.85,2.09,0.48,24.87,61.29,8.18,43.14,4.81,83.33,7.54,63.83,1.28,37.5,15.18,15.46,0.08,0.64,0,0,0.96,16.67,0,3.21,30,3.05,26.32,1.12,28.57,0.64,0.16,5.45,58.82,Finland 2020
N. Kettunen,TPS,TPS,"RW, DMF, LW",,15,560,0,0.07,0,0.03,26.04,53.09,Finland,Finland,0,0,13.98,13.5,69.05,1.29,12.5,0,0,0.16,4.66,4.37,0.48,0,0,0,0,1.45,0,0,0,0.01,0,0,2,0.32,50,0,0,0,0,3.54,31.82,6.91,32.56,0.16,0.32,0.48,0.16,22.34,65.47,7.55,38.3,4.18,92.31,7.07,72.73,1.61,20,15.54,20.73,0,0.32,0,0,0.8,20,0,2.41,20,0.48,33.33,0.8,20,0.16,0,4.18,46.15,Finland 2020
R. Ariyo,UDG Tenerife Sur,TiPS,CF,27,6,552,6,4.4,0,0.13,25.43,37.82,Finland,Finland,0,0,3.1,2.45,53.33,3.75,56.52,0.33,0.42,0,1.47,1.88,0.49,0,0,0,0,3.75,0.98,6,0.98,0.72,2,0.33,24,3.91,37.5,25,0,1.96,25,3.91,45.83,13.7,28.57,5.38,1.14,0.16,1.3,19.08,67.52,3.26,55,4.73,86.21,7.83,68.75,1.3,50,20.14,38.33,0.02,0.16,0,0,0.33,0,0,1.47,44.44,1.63,20,0.16,0,0.16,0.49,2.28,35.71,Finland 2020
S. Hartikainen,KuPS,KuPS,"RB, LB",20,11,527,0,1.11,0,0.41,22.71,54.89,Finland,Finland,0,0,11.61,11.95,55.71,3.59,57.14,0,0,0,4.95,6.49,3.07,1,0.17,0,0,3.24,0,0,0,0.19,0,0,6,1.02,33.33,0,0,2.9,52.94,1.71,70,3.76,45.45,1.71,1.02,0.17,0.68,37.74,71.49,15.2,51.69,5.12,90,11.78,85.51,3.07,50,18.69,25.07,0.07,0.85,0,0,0.51,33.33,0.34,4.78,39.29,4.1,50,1.02,33.33,0.68,1.54,8.54,66,Finland 2020
L. Kölhi,PK-35 Vantaa,TiPS,"LB, LCB",22,8,519,0,0.03,0,0.61,15.09,47.13,Finland,Finland,0,0,10.92,8.67,58,0.69,25,0.17,0.21,0.17,5.72,6.92,0.52,0,0,0,0,1.73,0,0,0,0.01,0,0,1,0.17,0,0,0,2.6,40,1.39,50,3.29,36.84,0.17,2.43,0.52,0.52,60.87,81.77,24.97,72.92,5.9,91.18,22.02,89.76,2.95,29.41,18.43,28.6,0.11,0.52,0,0,0.52,0,0.35,7.8,73.33,3.82,36.36,0.87,0,0.17,1.21,12.66,64.38,Finland 2020
P. Tavi,PK-35,PK-35,"LW, CF",,14,514,0,0,1,0.32,22.41,39.06,Finland,Finland,0,0,6.3,5.08,62.07,1.58,22.22,0,0,0,3.15,3.42,0.53,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0.18,0.35,0,1.58,66.67,12.26,28.57,2.28,0.88,0.18,1.4,28.19,77.64,6.3,55.56,7.7,93.18,7,72.5,2.1,33.33,15.25,18.26,0.06,0.53,0,0,1.4,25,0.35,3.33,52.63,1.23,0,1.93,9.09,0.35,0.18,2.8,62.5,Finland 2020
V. Ollonqvist,TPS,TPS,"CF, LWF",18,7,478,0,0.8,0,0.7,14.87,30.38,Finland,Finland,0,0,3.95,4.33,47.83,1.88,30,0,0,0,1.88,1.71,0.38,0,0,0,0,1.13,0,0,0,0.15,0,0,6,1.13,33.33,0,0,0.75,0,1.88,40,7.15,15.79,1.51,0.75,0.75,0,15.44,65.85,2.45,53.85,4.33,78.26,4.52,66.67,0.94,40,14.76,9.66,0.13,1.13,0,0,0.38,0,0,0.94,80,0.56,0,0.56,0,0.19,0.19,1.88,10,Finland 2020
N. Hämäläinen,Ilves,Ilves,"LB, RB, LWB",19,10,478,0,0.34,1,0.62,13.08,30.51,Finland,Finland,0,0,8.2,7.09,46.88,0.89,0,0,0,0,4.88,5.45,0.89,1,0.19,0,0,0.89,0,0,0,0.08,0,0,4,0.89,25,0,0.22,1.33,16.67,2.44,9.09,3.33,13.33,1.11,1.33,0.44,0.22,31.92,68.75,10.42,40.43,4.21,100,14.41,78.46,6.21,35.71,19.15,24.26,0.14,0.44,0,0,1.11,20,0.44,3.55,43.75,2.88,23.08,1.55,28.57,0.44,0.22,7.32,42.42,Finland 2020
